# Pipe-separated new-season roster (authoritative) supplied 2026-06-09.
# Fields: name|division|lat|lng|code|domain|nickname|short|address|postcode
Radcliffe|North|53.56760703955618|-2.340707061051373|RAD|radcliffefc.com|The Boro|Radcliffe|Stainton Park, Radcliffe|M26 3PE
Scarborough Athletic|North|54.26885409610377|-0.4134750829799023|SCA|scarboroughathletic.com|The Seadogs|Scarborough|Flamingo Land Stadium, Scarborough|YO11 2JW
South Shields|North|54.97452821995997|-1.470092300613693|SSH|southshieldsfc.co.uk|The Mariners|South Shields|1st Cloud Arena, South Shields|NE32 3UP
Southport|North|53.63811314974414|-2.978847672031853|SPT|southportfc.net|The Sandgrounders|Southport|Haig Avenue, Southport|PR8 6JZ
Spalding United|North|52.79005992500181|-0.15252590613257005|SPA|spaldingunited.net|The Tulips|Spalding|Sir Halley Stewart Field, Spalding|PE11 1DA
Spennymoor Town|North|54.70451503880088|-1.5991848459320976|SPE|spennymoortownfc.co.uk|The Moors|Spennymoor|The Brewery Field, Spennymoor|DL16 6JN
Worksop Town|North|53.31155269682345|-1.131416371397196|WRK|worksoptownfc.co.uk|The Tigers|Worksop|Sandy Lane, Worksop|S80 1UJ
AFC Totton|South|50.93416071300507|-1.5099290686707494|TOT|afctotton.com|The Stags|Totton|Testwood Stadium, Totton|SO40 2RW
Billericay Town|South|51.62179392469209|0.40328805313099925|BIL|billericaytownfc.co.uk|The Blues|Billericay|New Lodge, Billericay|CM12 9SA
Braintree Town|South|51.87533760111121|0.57299452147587|BRA|braintreetownfc.org|The Iron|Braintree|Rare Breed Meat Co. Stadium, Braintree|CM7 3DE
Chelmsford City|South|51.753242963588846|0.4514845194513767|CHC|chelmsfordcityfc.com|The Clarets|Chelmsford|Melbourne Stadium, Chelmsford|CM2 8XJ
Chesham United|South|51.698863708301225|-0.6139755355550558|CHU|cheshamunited.co.uk|The Generals|Chesham|The Meadow, Chesham|HP5 1NE
Dagenham & Redbridge|South|51.547820598704185|0.15990485831957182|DAG|daggers.co.uk|The Daggers|Dag & Red|Chigwell Construction Stadium, London (Dagenham)|RM10 7XL
Dorking Wanderers|South|51.23444026003288|-0.3335407842236622|DOR|dorkingwanderers.com|Wanderers|Dorking|Meadowbank Stadium, Dorking|RH4 1DX
Dover Athletic|South|51.13782741289405|1.284936574279846|DOV|doverathletic.com|The Whites|Dover|Crabble Athletic Ground, Dover|CT17 0JB
Ebbsfleet United|South|51.449557841550806|0.3223230845251993|EBB|ebbsfleetunited.co.uk|The Fleet|Ebbsfleet|Kuflink Stadium, Northfleet|DA11 9GN
Farnborough|South|51.31044265715469|-0.7622708460201515|FAB|farnboroughfc.co.uk|Boro|Farnborough|Saunders Transport Community Stadium, Farnborough|GU14 8UD
Farnham Town|South|51.21152312393966|-0.8063057919865091|FHT|farnhamtownfc.co.uk|Town|Farnham|The Memorial Ground, Farnham|GU9 7DY
